,HJD_UTC,VEL,1,2,3,4,5,6,7,8,9,10,15,16,17,18,err,cts,VEL_DT
0,13931.928102,-46.5669226125,0.0,0.0195020083338,-7.68306927057e-05,0.178100943565,0.380637049675,0.148473650217,0.0615635178983,0.0646397918463,0.146326571703,0.386491477489,0.210982993245,-0.0155822252855,0.0168463345617,0.0,1.15301418304,89995,-48.9710375197
1,13931.929005,-49.1767824477,0.0,0.0175160728395,0.00417248299345,0.197274580598,0.394517123699,0.146431386471,0.0451242662966,0.0779529213905,0.155803382397,0.395469486713,0.195503801107,-0.0154776787385,0.0167045667768,0.0,1.04891848564,90443,-50.9561550619
2,13931.929907,-46.6778273471,0.0,0.0172401070595,0.00305964029394,0.180016711354,0.39289316535,0.139288589358,0.0648708567023,0.0791588053107,0.13746213913,0.398973673582,0.199518859386,-0.0158601179719,0.0169937629253,0.0,1.08816921711,90784,-48.4166194083
3,14689.875845,-53.9460736573,0.0,0.0168932899833,0.00741387857124,0.224653825164,0.286136269569,0.137397781014,-0.0139220915735,0.0721456035972,0.162599638104,0.29312735796,0.112960748374,-0.0103770643473,0.0156012140214,0.0,1.33467543125,48701,-54.148523642
4,14839.168649,35.3749820341,0.0,0.0197728872299,0.00617569219321,0.209448069334,0.285990834236,0.159698098898,0.00888471491635,0.0279093626887,0.157861024141,0.289343833923,0.197520762682,0.00257322890684,0.0155479470268,0.0,1.3127669096,46633,31.9797814901
5,14865.174728,34.9205743035,0.0,0.0129761034623,0.000521678943187,0.0864124298096,0.240629434586,0.129502624273,0.0454445667565,0.0176145583391,0.123717539012,0.239105671644,0.162149831653,-0.00498263956979,0.0122960871086,0.0,1.37395656109,44460,31.9648658742
6,14866.13393,44.0814509502,0.0,0.0134431710467,-0.00392062496394,0.0791593641043,0.215336412191,0.144919350743,0.0290900543332,-0.001131001045,0.117851957679,0.240343257785,0.157791212201,-0.00116543029435,0.010996771045,0.0,1.37063622475,44191,41.5896882322
7,14868.073528,56.6026820358,0.0,0.0189603939652,-0.00511283101514,0.177676230669,0.352075457573,0.143526405096,0.047425493598,0.0287463944405,0.173838868737,0.336195468903,0.221776634455,-0.00803685747087,0.0160134471953,0.0,1.74790847301,43403,53.2539588032
8,14929.940713,-75.0187484981,0.0,0.0180934593081,-0.00690586864948,0.182047054172,0.311941295862,0.140746057034,0.0313232243061,0.0556950122118,0.152700483799,0.311117917299,0.168175905943,-0.0139966951683,0.0181046389043,0.0,1.48736798763,43134,-76.9466762541
9,14934.967889,-68.6387958235,0.0,0.0162093061954,-0.00323638739064,0.141974776983,0.309209465981,0.134856238961,0.0473644249141,0.0214167926461,0.155970871449,0.295969009399,0.188973024487,-0.0104646766558,0.016803432256,0.0,1.4755667448,43372,-71.5178007827
10,14983.798099,15.7216725553,0.0,0.00898851826787,0.00525032216683,0.0829771980643,0.194753438234,0.126389294863,0.0596144348383,-0.0185989383608,0.12986408174,0.198197767138,0.186048179865,0.0213849171996,0.0106458682567,0.0,1.45434105396,49896,11.5192911993
11,14984.819232,32.4217311086,0.0,0.00959075242281,0.00534427398816,0.0747289583087,0.185551837087,0.118299990892,0.0508179143071,-0.00993024092168,0.119512818754,0.198719605803,0.15605981648,-0.00186898454558,0.0135217234492,0.0,1.31187593937,50505,29.5745147841
12,14985.909691,47.8804637118,0.0,0.0163972005248,0.00297281704843,0.172987937927,0.269784837961,0.123936146498,0.0179626718163,0.0522419884801,0.155897095799,0.256877213717,0.125851809978,-0.0121001629159,0.0154387680814,0.0,1.416670084,47270,46.4589884772
13,14986.816497,53.2493022914,0.0,0.0122921112925,0.00359061337076,0.115448988974,0.220513314009,0.102298222482,0.0364835783839,0.0328175313771,0.111022271216,0.229725912213,0.119317770004,0.000600726227276,0.0134509401396,0.0,1.38568246365,47473,52.3031783336
14,14987.780013,60.3680551298,0.0,0.0158889964223,-0.00336969201453,0.133137285709,0.246686384082,0.11773905158,0.0336702093482,0.0635071769357,0.104083456099,0.27468636632,0.131111055613,-0.00227589439601,0.0143011081964,0.0,1.33175730705,48819,59.6734980384
15,14988.798364,64.4259191368,0.0,0.0142010534182,0.0116854701191,0.17736068368,0.256547003984,0.114670202136,0.00980640202761,0.0544165633619,0.145551860332,0.253537476063,0.122615896165,-0.00593433622271,0.0142032885924,0.0,1.44829702377,47069,63.4666060286
16,15014.811252,-61.7098522577,0.0,0.0156443957239,0.00985239539295,0.169284209609,0.176410481334,0.11710703373,-0.0668972879648,0.0695530995727,0.135898262262,0.159926220775,0.0503911338747,-0.00311532523483,0.00986796803772,0.0,1.37339389324,48808,-62.1027427342
