,HJD_UTC,VEL,1,2,3,4,5,6,7,8,9,10,15,16,17,18,err,cts,el,spectemp,ccdtemp,dewfoc,pressure,ha,exptime,VEL_DT
0,16822.99651,-0.75515789956,0.00687020365149,-0.00911064166576,0.00344755174592,0.0131900953129,0.0941614955664,0.168039813638,-0.0212204027921,-0.0184435844421,0.0861399099231,0.146128222346,0.0699636340141,0.00535436021164,-0.00395992724225,0.00352897844277,1.98522031307,29109,-22.2837837838,-0.127566750005,-9.45810823183,-297.175675676,-1.29867636184,3.2997027027,657.405405405,-4.55946592696
1,16831.887392,-0.952116217509,0.00700832530856,-0.00812699086964,0.00140934495721,0.0139778861776,0.0982105135918,0.141303300858,-0.0277698747814,-0.00973522942513,0.0752673596144,0.140080496669,0.0527301765978,0.00585263594985,-0.00624301098287,0.00405424553901,1.85303378105,29540,1.71621621622,-0.127566750005,-9.45810823183,-279.175675676,-0.998627533838,1.2647027027,510.405405405,-5.13881725265
2,16899.752139,-2.88372445997,0.0115590374917,-0.0062313019298,-0.00390152004547,0.0135157611221,0.0921691730618,0.093768261373,-0.0147356987,-0.0200058184564,0.134842529893,0.0743674337864,0.0188811942935,0.0113231958821,-0.0126578947529,0.00575869483873,1.68768453598,25248,-14.2837837838,-0.0775675129054,-9.45810823183,23.8243243243,1.00137246616,2.5317027027,1189.40540541,-7.92602594557
3,16941.748161,5.13255571276,0.00774251157418,-0.0018336288631,0.00851762108505,-0.00331977661699,0.103012509644,0.0837888792157,0.00732630863786,-0.022541154176,0.145269647241,0.102528832853,0.0267790239304,0.00339200184681,-0.00558420270681,0.0040606316179,1.99410200119,15688,-46.2837837838,-0.0675672840054,-9.45810823183,28.8243243243,3.10134805216,5.2587027027,1189.40540541,-1.1353581952
4,17115.847778,-1.18017391354,0.00652509415522,-0.00804312061518,0.000323688000208,0.014163303189,0.102719195187,0.10673584044,-0.00702350353822,-0.0346417538822,0.15945520997,0.0687476247549,0.0259300787002,0.00131697661709,-0.00395705038682,0.00510091241449,2.27911829948,12032,-42.2837837838,-0.137566978905,0.54189176817,1.82432432433,4.00137246616,-4.9552972973,18.4054054054,-7.67153059967
6,17121.79559,-3.28874721506,-0.0108557138592,0.0170762836933,0.286126047373,-0.0677024051547,0.13681076467,0.107720218599,-0.0175421219319,-0.201149389148,0.34227836132,-0.00590851996094,0.0542397089303,0.0371508635581,-0.0256792977452,0.0157344937325,3.50976109505,4803,-51.2837837838,-0.157567436605,0.44189329407,2.82432432433,0.101348052162,-5.8252972973,126.405405405,-6.62880390191
7,17121.803299,-7.08946479336,0.00180500396527,0.00240086019039,-0.0081487223506,0.0201913826168,0.0644781813025,0.157049760222,-0.0402371920645,-0.0545970499516,0.17134180665,0.0742327496409,0.0316680409014,0.000882305612322,-0.00692081684247,0.00800668261945,2.96615958214,5422,-49.2837837838,-0.167567665505,0.44189329407,2.82432432433,0.101348052162,-5.6402972973,68.4054054054,-8.37968431628
8,17122.006263,-7.75294433029,0.00368397613056,-0.00380815123208,-0.00200725416653,0.00818183459342,0.075418561697,0.0794480219483,-0.00972422491759,-0.0252904873341,0.117960415781,0.0662078931928,0.0234532281756,0.00109712162521,-0.00648108730093,0.00611395388842,1.95102787018,15918,5.71621621622,-0.207568581005,0.54189176817,2.82432432433,-1.29867636184,-0.755297297297,-45.5945945946,-11.1900591511
9,17124.015366,-3.69581219744,0.00469528511167,-0.00810180604458,0.00612611649558,-0.00173731392715,0.0913667231798,0.0614046789706,0.0033739740029,-0.0224351137877,0.122029066086,0.0698409453034,0.0163074638695,0.00862826220691,-0.0112194512039,0.00826369132847,1.99013102055,18106,8.71621621622,-0.217566902605,0.44189329407,19.8243243243,-0.498627533838,-0.408297297297,-34.5945945946,-7.94220032138
10,17126.029029,3.12973912271,0.00376562494785,-0.00340766366571,-0.00482994550839,0.0202882438898,0.114856861532,0.123669147491,-0.0487499758601,0.019233500585,0.113873399794,0.065104521811,0.00919279642403,0.0105230230838,-0.00844397302717,0.00540492357686,1.89279603958,16386,9.71621621622,-0.167567665505,0.54189176817,1.82432432433,0.601348052162,0.0487027027027,-164.594594595,-1.57895817424
