,HJD_UTC,VEL,1,2,3,4,5,6,7,8,9,10,15,16,17,18,err,cts,el,spectemp,ccdtemp,dewfoc,pressure,ha,exptime,VEL_DT
0,16505.735812,81.8241211266,0.000499722722452,-0.00122552993707,-0.00119816674851,0.0062656425871,0.0805338844657,0.0647539272904,-0.000321109284414,-0.0435656793416,0.146840259433,0.0672875195742,0.0233197603375,-0.000270063494099,0.00178010226227,-0.00183849898167,2.04383111,29833,1.65605095541,-0.0968152738815,-7.42038259995,62.2993630573,1.6292946268,1.706,25.4076433121,74.5662182863
1,16506.70079,77.7805096204,0.000645074178465,-0.00195152778178,-0.00205971929245,0.00766724999994,0.0980285406113,0.106934398413,-0.0267048124224,-0.0219331216067,0.151681169868,0.0642775222659,0.0189164429903,0.00151276914403,0.000411525717936,-0.00062884617364,2.12419652939,30844,11.6560509554,-0.0568162738815,-7.42038259995,62.2993630573,0.529318626803,0.93,6.4076433121,70.6012405776
2,16515.688355,19.2575736635,-0.000758921552915,0.00200791400857,-0.00483173504472,0.013917317614,0.121393665671,0.109295934439,-0.0630263313651,0.021266553551,0.0956561118364,0.0632668733597,0.0173007827252,0.00386514258571,-0.00095690053422,-0.000927172543015,2.33111476898,29773,-54.3439490446,-0.116815273882,-7.42038259995,62.2993630573,1.3293066268,1.235,-21.5923566879,9.29499981086
3,16516.706489,11.1647440022,0.00239593535662,-0.00592565722764,0.00333548081107,0.00647208187729,0.105677343905,0.0805593580008,-0.0186810921878,-0.00257911952212,0.131225094199,0.0665728598833,0.0168400965631,0.00495046330616,-0.00172635167837,-0.000758210488129,2.26388549805,29911,-54.3439490446,-0.0568162738815,-7.42038259995,62.2993630573,0.529318626803,1.739,0.407643312102,3.10504395629
4,16517.683051,1.7750854071,0.00030868066824,0.000144958947203,-0.00604197802022,0.0157096032053,0.103071309626,0.0806415975094,-0.0268440023065,5.6601180404e-05,0.110783562064,0.0551644228399,0.0234713163227,0.00156966003124,-0.00112784048542,-0.000538202933967,2.11617708206,28600,-54.3439490446,-0.0268152738815,-7.42038259995,62.2993630573,1.2292706268,1.242,-9.5923566879,-7.76537487225
5,16518.683778,-11.3181817768,-0.00013407242659,0.000845915987156,-0.00595074566081,0.0176129825413,0.130839809775,0.11374733597,-0.0264027770609,0.00130808819085,0.153451740742,0.0751399919391,0.0121484436095,0.00799075327814,-0.00412304420024,0.000654838862829,2.16730093956,33490,-54.3439490446,-0.0368152738815,-7.42038259995,62.2993630573,1.2292706268,1.326,84.4076433121,-17.4940864073
6,16525.671455,-51.6014644439,-0.000461168412585,0.000937711854931,-0.00361021235585,0.01183705125,0.0623853243887,0.0923720672727,-0.043430339545,0.00545001821592,0.0709360167384,0.0752143263817,0.00994314439595,0.0113218752667,-0.00660599395633,0.000905684253667,2.15120911598,29223,-54.3439490446,0.123184726118,-7.42038259995,62.2993630573,-1.6706933732,1.5,-14.5923566879,-62.0326937955
7,16526.676199,-51.9085851459,-0.000201010538149,0.00131463853177,-0.00632322952151,0.00997229199857,0.0896733477712,0.110183022916,-0.0262890700251,-0.0131932739168,0.137648552656,0.0623145662248,0.0240881964564,0.00396893871948,-0.00160260719713,-0.000536429171916,2.11135053635,30106,-54.3439490446,0.153184726118,-7.42038259995,62.2993630573,-1.4706813732,1.681,9.4076433121,-59.8034390267
8,16530.722469,-38.1645207018,0.00207526772283,-0.00333914696239,-0.00205851229839,0.0120474081486,0.101736910641,0.104371242225,-0.0172126851976,-0.0420545302331,0.171749055386,0.0895723253489,0.0139065384865,0.010044475086,-0.00391785753891,0.000178058311576,2.16470122337,31259,-56.3439490446,-0.0968152738815,-7.32038459995,62.2993630573,-1.1706933732,3.063,72.4076433121,-42.943653299
9,16534.691318,-7.52588826795,-0.00384717155248,0.00267326133326,-0.00546769564971,0.0101793818176,0.112323150039,0.101288333535,-0.0282232500613,-0.0130509994924,0.134990081191,0.0803233087063,0.0216813664883,-0.000251594348811,0.00221336749382,-0.00384324486367,2.16068911552,28524,-8.34394904459,0.0331843446185,-7.42038259995,62.2993630573,3.0293190408,2.582,-19.5923566879,-15.0912398552
10,16535.669006,6.86404385814,-0.0080431913957,0.0100990962237,-0.0141302989796,0.0167308971286,0.0818475037813,0.0986088216305,-0.00243067648262,-0.00243721297011,0.121399655938,0.0849422737956,0.0289060845971,-0.00422080093995,0.00825504306704,-0.00875309109688,2.21275830269,30261,-2.34394904459,0.00318556531847,-7.42038259995,62.2993630573,1.9292824198,2.112,31.4076433121,-1.19671434758
11,16536.690627,13.5907635521,0.0371233783662,0.0851147994399,-0.191791012883,0.127761915326,-0.0685044825077,0.235070735216,-0.0964040383697,-0.197455540299,0.333449661732,-0.00834602490067,-0.00943884626031,0.137945502996,-0.146102890372,-0.105339147151,4.0421705246,7057,-12.3439490446,0.133184726118,-7.42038259995,62.2993630573,0.429282419803,2.699,778.407643312,8.63687438824
12,16539.642571,45.2074359148,-0.00454729422927,0.00639400770888,-0.00777291599661,0.00851155258715,0.0748087316751,0.0705839172006,-0.00430707307532,-0.0398188121617,0.124713905156,0.0739380940795,0.0261323805898,-0.000200222959393,0.00513404328376,-0.00630057044327,2.33608937263,28799,1.65605095541,-0.0668160367815,-7.42038259995,62.2993630573,-0.470680959197,1.744,-14.5923566879,36.7547169851
13,16540.660734,53.6093651111,-0.00444819452241,0.00386283593252,-0.00509235495701,0.00585023732856,0.088540405035,0.0589258670807,0.019293891266,-0.0333538688719,0.131156429648,0.0868759229779,0.0284754689783,-0.0030356911011,0.00590382795781,-0.00605748593807,2.19897580147,28846,-4.34394904459,-0.0368153501815,-7.42038259995,62.2993630573,0.0293190408025,2.248,2.4076433121,46.1191701322
14,16541.64325,56.3292550301,-0.00576460640877,0.00832209736109,-0.0151003403589,0.0178772825748,0.0937257036567,0.0527154579759,0.000530973600689,-0.0516733005643,0.147344917059,0.0809190571308,0.0222043264657,-0.00169059273321,0.00603800453246,-0.00550584401935,2.04208922386,29174,-0.343949044586,-0.186814968682,-7.42038259995,62.2993630573,0.329306833803,1.894,-1.5923566879,49.3407599834
15,16541.795592,61.5614038931,-0.0138143077493,0.0296535845846,-0.0162163600326,0.0144664905965,0.0820053070784,0.0799944922328,0.0192965604365,-0.048531550914,0.179230228066,0.0802907794714,0.0401897355914,-0.0203258711845,0.0197369288653,-0.0199415516108,2.43286967278,30506,-42.3439490446,-0.0768143583815,-7.42038259995,62.2993630573,0.829306833803,5.561,140.407643312,55.774212755
16,16542.647792,63.2822295035,-0.012642133981,0.0132711827755,-0.0132101411,0.00920532364398,0.0814091786742,0.0933851823211,-0.00132622278761,-0.0289498269558,0.150246933103,0.0807956308126,0.0353665240109,-0.012205677107,0.0146625712514,-0.0134997200221,1.92068767548,32109,-2.34394904459,0.0431845735185,-7.42038259995,62.2993630573,-0.970680959197,2.07,79.4076433121,56.2977313119
17,16547.679881,70.3054800682,-0.00805968791246,0.00749949039891,-0.00923773646355,0.0223721060902,0.103708289564,0.185162782669,-0.01656572707,-0.0177353117615,0.0860492289066,0.176131263375,0.0936106294394,0.0015818295069,0.00722200563177,-0.00925557967275,2.27501177788,35394,-15.3439490446,0.113184268318,-7.42038259995,-334.700636943,0.329306833803,3.177,273.407643312,65.7236638572
18,16548.630701,61.4427746384,-0.00815605185926,0.0101543236524,-0.0129143605009,0.0273903273046,0.109588496387,0.193261519074,-0.0143238632008,-0.0030676794704,0.0771088153124,0.188228860497,0.100611537695,-0.00471103703603,0.0133781982586,-0.0125671867281,2.18983626366,36872,-2.34394904459,-0.0368153501815,-7.42038259995,-333.700636943,-0.970680959197,2.061,70.4076433121,55.8313502044
